t,c	ln(p-p_пр)/(p_0-p_пр)
0 0.000
0 -0.017
1 -0.051
1 -0.106
2 -0.183
2 -0.266
3 -0.357
3 -0.484
4 -0.630
4 -0.764
5 -0.878
5 -1.053
6 -1.154
6 -1.326
7 -1.391
7 -1.535
8 -1.704
8 -1.800
9 -1.907
9 -2.026
10 -2.161
11 -2.318
11 -2.503
12 -2.732
14 -3.028
16 -3.451
17 -3.505
17 -3.623
18 -3.687
18 -3.754
19 -3.830
19 -3.910
20 -3.997
20 -4.093
21 -4.198
22 -4.316
22 -4.449
24 -4.604
25 -4.786
28 -5.009
30 -5.297
41 -5.702
66 -6.395
