t,c	ln(p-p_пр)/(p_0-p_пр)
0	0
0	-0.016835414
1	-0.051381164
1	-0.105546027
2	-0.182655502
2	-0.266211388
3	-0.357390678
3	-0.484464954
4	-0.630070495
4	-0.764049816
5	-0.877808702
5	-1.052927346
6	-1.153514583
6	-1.326357396
7	-1.391315292
7	-1.535449194
8	-1.703913716
8	-1.800141748
9	-1.906625228
9	-2.025813746
10	-2.161155094
11	-2.317724154
11	-2.5034413
12	-2.731699952
14	-3.027965768
16	-3.450822619
17	-3.50488984
17	-3.622672876
18	-3.687211397
18	-3.756204269
19	-3.830312241
19	-3.910354948
20	-3.997366325
20	-4.092676505
21	-4.198037021
22	-4.315820056
22	-4.449351449
24	-4.603502129
25	-4.785823686
28	-5.008967237
30	-5.296649309
41	-5.702114418
66	-6.395261598
