t,c	ln(p-p_пр)/(p_0-p_пр)
0 0.000
1 -0.018
1 -0.036
2 -0.073
2 -0.111
3 -0.193
3 -0.282
4 -0.380
4 -0.518
5 -0.643
5 -0.787
6 -0.955
6 -1.102
7 -1.214
7 -1.340
8 -1.484
8 -1.565
9 -1.749
9 -1.855
10 -1.974
10 -2.110
11 -2.226
12 -2.452
13 -2.680
14 -2.977
16 -3.399
17 -3.454
18 -3.571
18 -3.636
19 -3.705
19 -3.779
20 -3.859
20 -3.946
21 -4.041
21 -4.147
22 -4.264
23 -4.398
24 -4.552
26 -4.734
28 -4.958
31 -5.245
43 -5.651
73 -6.344

