t (s),V (mV)
0,19.9101
0.966,19.8817
1.932,19.8627
2.906,19.8372
3.906,19.8137
4.906,19.7874
5.907,19.7622
6.906,19.7375
7.906,19.7148
8.906,19.6895
9.907,19.6646
10.906,19.6411
11.906,19.6152
12.907,19.5907
13.906,19.5674
14.906,19.5435
15.906,19.52
16.906,19.496
17.906,19.473
18.906,19.4486
19.907,19.4244
20.906,19.4018
21.906,19.3786
22.906,19.355
23.906,19.3312
24.907,19.3072
25.906,19.2822
26.907,19.2641
27.906,19.2418
28.907,19.2195
29.906,19.1965
30.906,19.1741
31.907,19.1513
32.906,19.1296
33.906,19.1077
34.907,19.0852
35.906,19.0632
36.907,19.0421
37.906,19.0196
38.906,18.9974
39.907,18.9741
40.906,18.9548
41.907,18.9328
42.906,18.9103
43.906,18.8888
44.906,18.8675
45.906,18.846
46.907,18.8245
47.906,18.8029
48.907,18.7822
49.906,18.7615
50.906,18.7402
51.907,18.7192
52.906,18.6979
53.907,18.6778
54.906,18.6573
55.906,18.6371
56.906,18.6156
57.906,18.5952
58.906,18.5739
59.906,18.5525
60.906,18.5316
61.906,18.5121
62.907,18.4916
63.906,18.472
64.907,18.4519
65.906,18.4305
66.906,18.4106
67.906,18.3905
68.906,18.371
69.907,18.3503
70.906,18.3296
71.907,18.3102
72.906,18.2903
73.907,18.2704
74.906,18.2507
75.907,18.2299
76.906,18.211
77.906,18.1904
78.907,18.1698
79.906,18.1516
80.907,18.1317
81.906,18.1116
82.906,18.0925
83.906,18.0723
84.907,18.0526
85.906,18.0337
86.906,18.0134
87.906,17.9936
88.906,17.9748
89.906,17.9551
90.906,17.9358
91.906,17.9168
92.907,17.8974
93.906,17.8771
94.906,17.8585
95.906,17.8361
96.907,17.8212
97.906,17.8027
98.906,17.7828
99.906,17.761
100.906,17.7436
101.906,17.7257
102.906,17.7061
103.906,17.6887
104.906,17.6703
105.906,17.6521
106.906,17.6336
107.907,17.6148
108.907,17.5957
109.906,17.5766
110.906,17.559
111.907,17.5401
112.906,17.5221
113.906,17.5035
114.906,17.4849
115.907,17.4663
116.906,17.4482
117.906,17.4301
118.907,17.4111
119.906,17.3929
120.906,17.3759
121.907,17.3564
122.907,17.3382
123.906,17.3194
124.906,17.3045
125.906,17.2857
126.906,17.268
127.907,17.2486
128.907,17.2328
129.906,17.2163
130.907,17.1972
131.907,17.18
132.906,17.1626
133.906,17.1471
134.907,17.1282
135.907,17.1109
136.906,17.095
137.907,17.077
138.906,17.0603
139.906,17.0424
140.907,17.0238
141.906,17.0069
142.906,16.9894
143.907,16.9712
144.906,16.9536
145.906,16.9352
146.907,16.9187
147.906,16.9009
148.906,16.8848
149.907,16.8667
150.906,16.8492
151.907,16.8316
152.907,16.8144
153.906,16.7963
154.906,16.7793
155.907,16.7619
156.906,16.744
157.907,16.7279
158.906,16.7094
159.906,16.6897
160.907,16.6727
161.906,16.6554
162.907,16.6383
163.906,16.6212
164.906,16.6027
165.907,16.5857
166.906,16.5691
167.906,16.5517
168.906,16.5357
169.907,16.5174
170.906,16.5015
171.906,16.4855
172.906,16.469
173.906,16.45
174.906,16.4361
175.907,16.4145
176.906,16.4031
177.907,16.3866
178.906,16.3692
179.906,16.3507
180.907,16.3356
181.906,16.3208
182.907,16.3035
183.907,16.2881
