t (s),V (mV)
0,19.631
1.05,19.6239
2.099,19.5997
3.149,19.5897
4.197,19.5742
5.197,19.5601
6.197,19.5464
7.197,19.5305
8.197,19.5168
9.197,19.5036
10.197,19.4898
11.197,19.4764
12.197,19.4638
13.197,19.4495
14.197,19.4351
15.197,19.4227
16.197,19.4065
17.197,19.3945
18.197,19.3798
19.197,19.3667
20.197,19.3527
21.197,19.3369
22.197,19.3235
23.197,19.3093
24.197,19.2976
25.197,19.2862
26.197,19.2729
27.197,19.2607
28.197,19.2485
29.197,19.2364
30.197,19.2236
31.197,19.2123
32.197,19.2009
33.197,19.1901
34.197,19.179
35.197,19.1674
36.197,19.1573
37.197,19.1468
38.197,19.1359
39.197,19.1243
40.197,19.1131
41.197,19.1011
42.197,19.0872
43.197,19.0748
44.197,19.063
45.197,19.0514
46.197,19.0395
47.197,19.027
48.197,19.0157
49.199,19.0047
50.198,18.9922
51.197,18.9791
52.197,18.9659
53.197,18.9538
54.197,18.941
55.197,18.9283
56.197,18.9161
57.197,18.9038
58.197,18.8927
59.197,18.8816
60.197,18.8697
61.197,18.8581
62.197,18.8467
63.197,18.8347
64.197,18.8235
65.197,18.8124
66.197,18.8014
67.197,18.79
68.197,18.779
69.197,18.768
70.197,18.7575
71.197,18.7457
72.197,18.7349
73.197,18.7244
74.197,18.7128
75.197,18.7025
76.197,18.6915
77.197,18.6826
78.197,18.6705
79.197,18.6582
80.197,18.6475
81.197,18.6357
82.197,18.6241
83.197,18.6131
84.197,18.6023
85.197,18.591
86.197,18.5799
87.197,18.5685
88.197,18.5574
89.197,18.546
90.197,18.5342
91.197,18.5232
92.197,18.511
93.197,18.5001
94.197,18.4887
95.197,18.4772
96.197,18.4658
97.197,18.4533
98.197,18.4421
99.197,18.4302
100.197,18.4189
101.197,18.4072
102.197,18.3961
103.197,18.3846
104.197,18.3737
105.197,18.3616
106.197,18.3491
107.197,18.338
108.197,18.3266
109.197,18.3151
110.199,18.3051
111.198,18.2922
112.197,18.2799
113.197,18.2678
114.197,18.2553
115.197,18.2438
116.197,18.2318
117.197,18.2198
118.197,18.2086
119.197,18.1976
120.197,18.1859
121.197,18.1745
122.197,18.1648
123.197,18.1526
124.197,18.1412
125.197,18.1301
126.197,18.1196
127.197,18.108
128.197,18.0967
129.197,18.0856
130.197,18.0754
131.197,18.0651
132.197,18.0537
133.197,18.0432
134.197,18.0318
135.197,18.0207
136.197,18.0107
137.197,17.9993
138.197,17.9884
139.197,17.9782
140.197,17.9676
141.197,17.9572
142.197,17.9453
143.197,17.9351
144.197,17.9247
145.197,17.9142
146.197,17.9035
147.197,17.8923
148.197,17.8825
149.197,17.8706
150.197,17.8602
151.197,17.8495
152.197,17.838
153.197,17.828
154.197,17.8167
155.197,17.8055
156.197,17.7955
157.197,17.7846
158.197,17.7739
159.197,17.7641
160.197,17.7538
161.197,17.7435
162.197,17.7331
163.197,17.7221
164.197,17.7119
165.197,17.7017
166.197,17.6916
167.197,17.682
168.197,17.6713
169.197,17.661
170.197,17.6516
171.197,17.6422
172.197,17.632
173.197,17.6218
174.197,17.6132
175.197,17.6022
176.197,17.5932
177.197,17.5827
178.197,17.5735
179.197,17.5641
180.197,17.555
181.197,17.5438
182.197,17.5344
183.197,17.5234
184.197,17.5136
185.197,17.5025
186.197,17.4928
187.197,17.4787
188.197,17.4675
189.197,17.4596
190.197,17.4549
191.197,17.442
192.197,17.4301
193.197,17.421
194.197,17.4107
195.197,17.4014
196.197,17.3907
197.197,17.3821
198.197,17.3712
199.197,17.3561
200.197,17.3488
201.197,17.3406
202.197,17.3314
203.197,17.3215
204.197,17.3125
205.197,17.302
206.197,17.2919
207.197,17.2824
208.197,17.2722
209.197,17.2619
210.197,17.252
211.197,17.242
212.197,17.2304
213.197,17.2219
214.197,17.2059
215.197,17.2001
216.197,17.1912
217.197,17.1808
218.197,17.1702
219.197,17.1598
220.197,17.1516
221.197,17.1415
222.197,17.1321
223.197,17.1227
224.197,17.1131
225.197,17.1026
226.197,17.0927
227.197,17.0828
228.197,17.0729
