t (s),V (mV)
356.93,11.0608
357.931,11.0429
358.93,11.0271
359.93,11.0098
360.931,10.9915
361.931,10.9747
362.93,10.9578
363.93,10.9404
364.931,10.9216
365.931,10.9059
366.93,10.8904
367.93,10.8738
368.931,10.8567
369.93,10.8408
370.931,10.8234
371.93,10.8085
372.931,10.7898
373.931,10.774
374.931,10.7581
375.93,10.7421
376.93,10.725
377.93,10.7091
378.931,10.6938
379.931,10.6766
380.93,10.6596
381.931,10.6437
382.931,10.6269
383.93,10.61
384.929,10.5937
385.929,10.5775
386.929,10.5598
387.929,10.5441
388.929,10.5283
389.929,10.5107
390.929,10.4945
391.929,10.4785
392.929,10.4623
393.929,10.4446
394.929,10.4277
395.929,10.4133
396.929,10.3955
397.929,10.3798
398.929,10.3649
399.929,10.3478
400.929,10.3315
401.93,10.3159
402.929,10.2996
403.929,10.2835
404.929,10.2687
405.929,10.2528
406.929,10.2355
407.929,10.2194
408.929,10.2033
409.929,10.1883
410.929,10.1714
411.929,10.1563
412.929,10.1402
413.929,10.1246
414.929,10.1083
415.929,10.0926
416.929,10.0769
417.929,10.0624
418.929,10.0467
419.929,10.0309
420.929,10.0156
421.93,9.9997
422.93,9.9841
423.931,9.9674
424.93,9.9531
425.93,9.937
426.931,9.9221
427.93,9.9066
428.93,9.8913
429.93,9.8676
430.931,9.8567
431.93,9.845
432.93,9.8316
433.931,9.8152
434.93,9.8016
435.93,9.7855
436.931,9.7699
437.93,9.7538
438.93,9.7383
439.931,9.7223
440.93,9.7062
441.93,9.6903
442.93,9.6758
443.931,9.6603
